LLKey,IssueDate,StartDate,EndDate,CertificateNumber,Fee,NPOName,Event,LicenseClass,SubClass,Description,AddrStreet,AddrZip,Location
404652,2012/05/15 04:00:00+00,2012/05/26 04:00:00+00,2012/05/27 04:00:00+00,61359,50,"Root & Culture, Inc.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",3125 W. BELVEDERE AVENUE,21215,3125 W. BELVEDERE AVENUE 21215
404653,2012/05/15 04:00:00+00,2012/05/26 04:00:00+00,2012/05/28 04:00:00+00,61360,100,"MARYLAND ZOOLOGICAL SOCIETY, INC.",Brew at the Zoo,LS,BWL,"Beer, Wine, & Liquor",000 Waterfall Lake Pavillion,21217,000 Waterfall Lake Pavillion 21217
404654,2012/05/16 04:00:00+00,2012/06/02 04:00:00+00,2012/06/04 04:00:00+00,61361,50,"CHARLES VILLAGE COMMUNITY FOUNDATION, INC.",Community Festival,WS,BW,Beer & Wines,29th & Charles Streets,21218,29th & Charles Streets 21218
404655,2012/05/16 04:00:00+00,2012/05/31 04:00:00+00,2012/06/01 04:00:00+00,61362,25,Beth Am Synagogue,Cultural Event,WS,BW,Beer & Wines,2501 Eutaw Place,21217,2501 Eutaw Place 21217
404656,2012/05/16 04:00:00+00,2012/05/18 04:00:00+00,2012/05/19 04:00:00+00,61363,25,Saint Ignatius Church,Wine Tasting,WS,BW,Beer & Wines,740 N. Calvert,21202,740 N. Calvert 21202
404657,2012/05/16 04:00:00+00,2012/05/25 04:00:00+00,2012/05/26 04:00:00+00,61364,25,"Station North Arts & Entertainment, Inc.",Block Pary and Performance,WS,BW,Beer & Wines,See permit# ROW2012-SE1000281,21202,
404658,2012/05/17 04:00:00+00,2012/05/25 04:00:00+00,2012/05/26 04:00:00+00,61365,25,"Fusion Partnerships, Inc.",Fundraiser,WS,BW,Beer & Wines,2640 ST. PAUL STREET,21218,2640 ST. PAUL STREET 21218
404659,2012/05/18 04:00:00+00,2012/05/25 04:00:00+00,2012/05/27 04:00:00+00,61366,50,Jamaican Association of Maryland Inc,Fundaiser,WS,BW,Beer & Wines,4229 YORK ROAD,21218,4229 YORK ROAD 21218
404660,2012/05/18 04:00:00+00,2012/06/01 04:00:00+00,2012/06/02 04:00:00+00,61367,25,Jamaican Association of Maryland Inc,Fundaiser,WS,BW,Beer & Wines,4229 YORK ROAD,21218,4229 YORK ROAD 21218
404661,2012/05/18 04:00:00+00,2012/06/01 04:00:00+00,2012/06/03 04:00:00+00,61368,50,Jamaican Association of Maryland Inc,Fundaiser,WS,BW,Beer & Wines,4229 YORK ROAD,21218,4229 YORK ROAD 21218
404662,2012/05/18 04:00:00+00,2012/06/16 04:00:00+00,2012/06/17 04:00:00+00,61369,50,Roots & Culture Inc,Fundaiser,LS,BWL,"Beer, Wine, & Liquor",3125 W. BELVEDERE AVENUE,21215,3125 W. BELVEDERE AVENUE 21215
404663,2012/05/18 04:00:00+00,2012/06/02 04:00:00+00,2012/06/03 04:00:00+00,61370,50,Roots & Culture Inc,Fundaiser,LS,BWL,"Beer, Wine, & Liquor",3125 W. BELVEDERE AVENUE,21215,3125 W. BELVEDERE AVENUE 21215
404664,2012/05/21 04:00:00+00,2012/06/08 04:00:00+00,2012/06/10 04:00:00+00,61371,50,THE MOBTOWN PLAYERS,Play Performance,WS,BW,Beer & Wines,3600 Clipper Mill Rd,21211,3600 Clipper Mill Rd 21211
404665,2012/05/21 04:00:00+00,2012/06/15 04:00:00+00,2012/06/17 04:00:00+00,61372,50,THE MOBTOWN PLAYERS,Play Performance,WS,BW,Beer & Wines,3600 Clipper Mill Rd,21211,3600 Clipper Mill Rd 21211
404666,2012/05/21 04:00:00+00,2012/06/22 04:00:00+00,2012/06/24 04:00:00+00,61373,50,THE MOBTOWN PLAYERS,Play Performance,WS,BW,Beer & Wines,3600 Clipper Mill Rd,21211,3600 Clipper Mill Rd 21211
404667,2012/05/21 04:00:00+00,2012/06/01 04:00:00+00,2012/06/03 04:00:00+00,61374,50,THE MOBTOWN PLAYERS,Play Performance,WS,BW,Beer & Wines,3600 Clipper Mill Rd,21211,3600 Clipper Mill Rd 21211
